Date, Hours, Vacation, EmpID
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 0, , , 
0000-00-00, 8, No, 1234, 
0000-00-00, 8, No, 1234, 
2022-05-23, 3, Yes, 1111, 
2024-06-14, 4, Yes, 3344, 
2024-09-21, 4, Yes, 2222, 
2024-09-21, 4, Yes, 2222, 
2024-09-21, 4, Yes, 2222, 
2024-09-21, 4, Yes, 2222, 
